sample_id,grouped_feature,contribution,abs_contribution,benign_probability,malicious_probability
537,Pattern_10,0.4639685776587728,8.24930259025763,1.0907649993896484e-05,0.9999890923500061
537,Pattern_4,0.027632952236391527,3.5880933883854333,1.0907649993896484e-05,0.9999890923500061
537,Pattern_5,-1.2414291079297626,5.396096489420905,1.0907649993896484e-05,0.9999890923500061
537,Pattern_6,-1.240890119124972,4.291034533327582,1.0907649993896484e-05,0.9999890923500061
537,Pattern_9,0.8477188043895659,8.28494615078412,1.0907649993896484e-05,0.9999890923500061
538,Remote_IPs_Access,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,Total_Dependencies,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,Home_DIR_Access,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,Root_DIR_Access,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,IO_Operations,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,File_Operations,0.2697364833761487,0.2697364833761487,0.9999774694442749,2.2503449145006016e-05
538,Process_Operations,-0.13525123294690478,1.943825299121455,0.9999774694442749,2.2503449145006016e-05
538,Security_Operations,0.13373025804765265,0.13373025804765265,0.9999774694442749,2.2503449145006016e-05
538,Network_Operations,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,State_Transition,0.0,0.0,0.9999774694442749,2.2503449145006016e-05
538,Read_Processes,-0.8954770024812978,13.821083486671176,0.9999774694442749,2.2503449145006016e-05
538,Pattern_2,-1.6154720335533563,3.562322492787378,0.9999774694442749,2.2503449145006016e-05
538,Pattern_10,1.1583519880672875,7.617147864078636,0.9999774694442749,2.2503449145006016e-05
538,Pattern_4,-0.5281730079331165,5.120218290192407,0.9999774694442749,2.2503449145006016e-05
538,Pattern_5,0.2477552996686307,6.223630854050907,0.9999774694442749,2.2503449145006016e-05
538,Pattern_6,-1.1280606481096178,5.654773423581706,0.9999774694442749,2.2503449145006016e-05
538,Pattern_9,3.7341796402462104,8.31824948073114,0.9999774694442749,2.2503449145006016e-05
539,Remote_IPs_Access,0.0,0.0,0.9931685328483582,0.006831472273916006
539,Total_Dependencies,0.0,0.0,0.9931685328483582,0.006831472273916006
539,Home_DIR_Access,0.0,0.0,0.9931685328483582,0.006831472273916006
539,Root_DIR_Access,0.0,0.0,0.9931685328483582,0.006831472273916006
539,IO_Operations,0.0,0.0,0.9931685328483582,0.006831472273916006
539,File_Operations,-0.264068959535068,0.264068959535068,0.9931685328483582,0.006831472273916006
539,Process_Operations,0.6336107872365236,2.1281385132162547,0.9931685328483582,0.006831472273916006
539,Security_Operations,-0.1798955435587338,0.1798955435587338,0.9931685328483582,0.006831472273916006
539,Network_Operations,0.0,0.0,0.9931685328483582,0.006831472273916006
539,State_Transition,0.0,0.0,0.9931685328483582,0.006831472273916006
539,Read_Processes,-1.042620405867118,13.33258576216099,0.9931685328483582,0.006831472273916006
539,Pattern_2,0.16649272680278998,3.239983413375387,0.9931685328483582,0.006831472273916006
539,Pattern_10,-1.0648741868096898,7.488601361906503,0.9931685328483582,0.006831472273916006
539,Pattern_4,-1.1969817902478064,4.480236246350091,0.9931685328483582,0.006831472273916006
539,Pattern_5,-1.048896334700989,4.143773114532378,0.9931685328483582,0.006831472273916006
539,Pattern_6,0.502128007557786,6.392563478148622,0.9931685328483582,0.006831472273916006
539,Pattern_9,-2.628129678042416,8.882267093414661,0.9931685328483582,0.006831472273916006
540,Remote_IPs_Access,0.0,0.0,0.9986844062805176,0.0013156214263290167
540,Total_Dependencies,0.0,0.0,0.9986844062805176,0.0013156214263290167
540,Home_DIR_Access,0.0,0.0,0.9986844062805176,0.0013156214263290167
540,Root_DIR_Access,0.0,0.0,0.9986844062805176,0.0013156214263290167
540,IO_Operations,-0.4288155693312249,0.4288155693312249,0.9986844062805176,0.0013156214263290167
540,File_Operations,-0.27224744908318765,0.27224744908318765,0.9986844062805176,0.0013156214263290167
540,Process_Operations,0.15627630752875638,1.2212455659584072,0.9986844062805176,0.0013156214263290167
540,Security_Operations,-0.16604289864881844,0.16604289864881844,0.9986844062805176,0.0013156214263290167
540,Network_Operations,0.0,0.0,0.9986844062805176,0.0013156214263290167
540,State_Transition,0.0,0.0,0.9986844062805176,0.0013156214263290167
540,Read_Processes,0.22868998440123628,13.40721179448977,0.9986844062805176,0.0013156214263290167
540,Pattern_2,-0.21303311364202882,2.6367581138435434,0.9986844062805176,0.0013156214263290167
540,Pattern_10,1.3143494742531303,7.800544616629445,0.9986844062805176,0.0013156214263290167
540,Pattern_4,-0.8680031762244863,3.6769143838217704,0.9986844062805176,0.0013156214263290167
540,Pattern_5,0.48130389389611367,3.7979544177472913,0.9986844062805176,0.0013156214263290167
