Package Name,Package Version,Installed 3.12,Installed 3.*,Prerequisites-1,Source Excel Row
requirementsttx,1.0.0,True,False,,4985
requirementxtt,1.0.0,True,False,,4996
requiremetnstxt,1.0.0,True,False,,4999
requiremntstxt,1.0.0,True,False,,5011
requirmentstxtt,1.0.0,True,False,,5020
requists,2.28.2,True,False,,5023
requxsts,1.0.0,True,False,,5044
reqwestss,0.1.0,True,False,,5047
rgbcolour,0.0.1,True,False,,5084
robloxapiaccess,0.0.2,True,False,,5100
rqeuests,0.1,True,False,,5125
rrequests,2.27.1,True,False,,5131
rwquests,2.28.1,True,False,,5138
saazszxcdz,0.1.0,True,False,,5147
sc-concurrent-log-handler,0.0.14,True,False,,5167
scikti-learn,0.1,True,False,,5195
secretslib,0.1.0,True,False,,5230
secrevthree,0.0.1,True,False,,5231
secrevthree,0.0.2,True,False,,5232
seleeniumm,1.0.0,True,False,,5242
selemnim,1.0.0,True,False,,5251
seleunium,1.0.0,True,False,,5271
selleniium,1.0.0,True,False,,5663
selunium,1.0.0,True,False,,5670
sentinelonesdk,1.0.0,True,False,,5695
setup1nter,0.0.1,True,False,,5703
setup1nter,0.0.2,True,False,,5704
setupint3s,0.0.2,True,False,,5706
simplyjson,0.1,True,False,,5766
sintaxisoyyo,0.8,True,False,requests,5769
soup2,1,True,False,,5808
stackstorm-runner-action-chain,1.0.0,True,False,requests,5869
stringe,0.0.1,True,False,,5888
sudo2,2.7.0,True,False,,5924
syscolorv2,1.0.0,True,False,,5976
tensnflow,1.0.0,True,False,,6027
tensofllow,1.0.0,True,False,,6035
tensoflpw,1.0.0,True,False,,6044
tensoflqw,1.0.0,True,False,,6045
tensrflwo,2.5.1,True,False,,6066
tensrflwo,2.7.1,True,False,,6067
tensrflwo,2.7,True,False,,6068
tensrflwo,2.8,True,False,,6069
tensrflwo,2.9,True,False,,6070
tequests,2.28.1,True,False,,6075
test-23234231,0.1,True,False,urllib3,6089
test-23234231,0.9,True,False,urllib3,6090
test-23234231,10,True,False,urllib3,6091
test_23234231,0.1,True,False,urllib3,6083
test_23234231,10,True,False,urllib3,6084
test_23234231,11,True,False,urllib4,6085
test_23234231,232,True,False,urllib5,6086
testdufou,1,True,False,,6110
testdufou,2,True,False,,6111
testdufou,3,True,False,,6112
testpipxyz3,1.0.0,True,False,requests,6138
thesis_uniud_package,1.0.0,True,False,,6161
threadin,4.5.2,True,False,requests,6162
tinyad2,1.0.0,True,False,,6186
trustypip,0.0.3,True,False,,6603
twittter,1.19.6,True,False,,6615
urtelib32,1.7.2,True,False,requests,6703
urtelib32,1.7.5,True,False,requests,6704
web3.py9,1.0.0,True,False,,6805
web3.pyy,1.0.0,True,False,,6807
web3q,1.0.0,True,False,,6810
wec3,4.5.2,True,False,requests,6874
xboxsolver,1.0,True,False,,6911
yandex-map,4.4.2,True,False,requests,7061
zafira,0.1,True,False,,7111
zwhrce,0.0.1,True,False,,7125
