package_id,archive,archive_type,setup_py_count,ast_parsed_setup_count,regex_parsed_setup_count,setup_without_detected_imports,unique_import_count,total_import_occurrences,standard_unique_imports,third_party_or_other_unique_imports,status
adal-1.2.7,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adal-1.2.7.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
adc-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adc-0.0.3.tar.gz,tar,1,1,0,0,3,3,2,1,imports detected
adlib-1.2.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adlib-1.2.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
adm-0.1a0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adm-0.1a0.tar.gz,tar,1,1,0,0,3,3,3,0,imports detected
adminbypasser-2.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\adminbypasser-2.0.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
advsecurenet-0.2.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\advsecurenet-0.2.3.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
aenum-3.1.15,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aenum-3.1.15.tar.gz,tar,1,1,0,0,4,5,3,1,imports detected
aesqlapius-0.0.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aesqlapius-0.0.9.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
Aetherus-0.1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\Aetherus-0.1.1.tar.gz,tar,0,0,0,0,0,0,0,0,no setup.py found
agdetector-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\agdetector-1.0.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
agentcoreclient-0.1.8,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\agentcoreclient-0.1.8.tar.gz,tar,1,1,0,0,2,3,0,2,imports detected
ai-supporter-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\ai-supporter-0.0.3.tar.gz,tar,1,1,0,0,2,2,1,1,imports detected
ai_images-0.1.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\ai_images-0.1.1.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aidoc-0.1.5,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aidoc-0.1.5.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
aihttp-0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aihttp-0.1.tar.gz,tar,1,1,0,0,4,6,3,1,imports detected
aika-datagraph-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aika-datagraph-1.0.0.tar.gz,tar,1,1,0,0,1,1,0,1,imports detected
