package_id,archive,archive_type,setup_member,setup_size_bytes,parser,unique_import_count,total_import_occurrences,imports
aiovast-4.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiovast-4.0.3.tar.gz,tar,aiovast-4.0.3/setup.py,1271,ast,3,3,json; os; setuptools
aiowowapi-2.1.4,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aiowowapi-2.1.4.tar.gz,tar,aiowowapi-2.1.4/setup.py,71,ast,1,1,setuptools
aira-0.4.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aira-0.4.0.tar.gz,tar,aira-0.4.0/setup.py,1358,ast,2,2,re; setuptools
airduct-0.1.9,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\airduct-0.1.9.tar.gz,tar,airduct-0.1.9/setup.py,2727,ast,1,1,distutils
aitoolbox-1.8.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aitoolbox-1.8.0.tar.gz,tar,aitoolbox-1.8.0/setup.py,1418,ast,1,1,setuptools
aivirtualassistant-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aivirtualassistant-1.0.0.tar.gz,tar,aivirtualassistant-1.0.0/setup.py,1186,ast,3,3,codecs; os; setuptools
ajpuamjad-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\ajpuamjad-1.0.tar.gz,tar,ajpuamjad-1.0/setup.py,225,ast,2,2,pathlib; setuptools
albumsplit-1.0.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\albumsplit-1.0.0.tar.gz,tar,albumsplit-1.0.0/setup.py,478,ast,1,1,setuptools
alembic-1.13.2,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\alembic-1.13.2.tar.gz,tar,alembic-1.13.2/setup.py,197,ast,1,2,setuptools
algokit-learn-0.0.1,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\algokit-learn-0.0.1.tar.gz,tar,algokit-learn-0.0.1/setup.py,518,ast,1,1,setuptools
aliboostanpdf-1.0,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aliboostanpdf-1.0.tar.gz,tar,aliboostanpdf-1.0/setup.py,231,ast,2,2,pathlib; setuptools
aliyunsdkcore-1.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\aliyunsdkcore-1.0.3.tar.gz,tar,aliyunsdkcore-1.0.3/setup.py,12797,ast,2,2,os; setuptools
alkana-0.0.3,D:\10. RQ1 DySec\Step 9 DownloadSelectedBenignPackages\Benign_Packages\alkana-0.0.3.tar.gz,tar,alkana-0.0.3/setup.py,1015,ast,2,2,pathlib; setuptools
